symbol	ensgene	chr	start	end	strand	biotype	description	Control_0w1	Control_0w2	Control_0w3	Control_2w1	Control_2w2	Control_2w3	Control_8w1	Control_8w2	Control_8w3	Control_16w1	Control_16w2	Control_16w3	disease_2w1	disease_2w2	disease_2w3	disease_8w1	disease_8w2	disease_8w3	disease_16w1	disease_16w2	disease_16w3	2WAvgreadControl	2W_Avgreaddisease	2W_logConc	2W_pVal	2W_adj.pVal	8WAvgreadControl	8W_Avgreaddisease	8W_logConc	8W_pVal	8W_adj.pVal	16WAvgreadControl	16W_Avgreaddisease	16W_logConc	16W_pVal	16W_adj.pVal
Ets2	ENSRNOG00000001647	11	36075709	36092495	1	protein_coding	"ETS proto-oncogene 2, transcription factor "	1247	902.7	1372	1405.4	1150.5	1221	1131.2	959.4	870.5	822.4	855.3	1049.2	1190.7	1063.2	1461.1	1327	1195.3	1362.9	1193.1	1120.3	1165.4	1258.980923	1238.338717	-0.023917812	0.902302006	1	987.0137982	1295.065105	0.392002697	0.041606971	0.184766844	908.9486103	1159.588699	0.352	0.0679	0.257
Erg	ENSRNOG00000001652	11	35646116	35749594	-1	protein_coding	"ERG, ETS transcription factor "	137	154.7	112.9	165.3	108.3	145	141.2	118	91.5	147	135.6	161.5	117.5	129.5	98.8	144	150.7	165.3	128.8	131.3	122.5	139.521307	115.2561379	-0.27321188	0.206556421	1	116.8994829	153.3197821	0.391356708	0.071266605	0.267280383	148.0453135	127.5521732	-0.214	0.329	0.664
St3gal6	ENSRNOG00000001653	11	44192940	44237100	1	protein_coding	"ST3 beta-galactoside alpha-2,3-sialyltransferase 6 "	33.5	58	55.6	57	66.6	54.8	66.2	87.6	43.2	68.7	38.1	52.5	49.7	54.9	47.7	71.3	64.5	65.5	66.1	44.8	37.4	59.47151587	50.7443552	-0.230533055	0.368520071	1	65.6678169	67.09464662	0.03253411	0.923637342	0.993894953	53.09376954	49.40957692	-0.117	0.682	0.905
Cpox	ENSRNOG00000001654	11	44039669	44049648	-1	protein_coding	coproporphyrinogen oxidase 	425.7	286.2	393.4	394.1	438.7	369.2	342.4	294.8	328.3	337.7	278.3	326.3	337.5	398.9	373.1	482	310.3	403.8	413	341.2	344.4	400.6475483	369.8187304	-0.115997657	0.562838574	1	321.8055662	398.7169511	0.310244471	0.122284016	0.380047093	314.1027629	366.1917604	0.22	0.269	0.597
Kcnj15	ENSRNOG00000001656	11	35568182	35585390	1	protein_coding	potassium voltage-gated channel subfamily J member 15 	25.1	14.2	13.5	14.9	28.2	19.3	9.5	12.5	9.1	6.2	12.4	30.2	28.4	23.8	16.8	21.4	18.7	27.4	20.3	36.8	25.5	20.79652838	22.99641534	0.140255464	0.681015613	1	10.36104575	22.49080009	1.111866548	0.003567815	0.029785022	16.23903392	27.5348416	0.818	0.0207	0.111
Cldnd1	ENSRNOG00000001657	11	43986386	43992598	-1	protein_coding	claudin domain containing 1 	624	698	794.6	936.5	746.8	792.1	910.4	723.5	847.7	756.9	677.7	762.8	725.6	865.2	802.7	867.2	710.7	711.7	866.1	661.6	795.7	825.1189677	797.8104614	-0.048539546	0.80345845	1	827.2168302	763.209637	-0.115836501	0.549904638	0.837317444	732.4716992	774.4852045	0.08	0.68	0.904
Dyrk1a	ENSRNOG00000001662	11	34865532	34956536	1	protein_coding	dual specificity tyrosine phosphorylation regulated kinase 1A 	838.2	1091.8	967.7	1027.3	874.8	958.4	931	1035.9	932.1	877.7	973.3	910.8	915	891.1	965.4	937.2	924.5	927.8	963.7	936.2	963.2	953.4979474	923.8559468	-0.045518909	0.814625547	1	966.3387515	929.8616584	-0.055474258	0.775165845	0.942495198	920.6034063	954.3766517	0.0521	0.789	0.953
Gabrr3	ENSRNOG00000001679	11	43046987	43099412	-1	protein_coding	gamma-aminobutyric acid type A receptor rho3 subunit 	6.8	3.7	12	9	9.6	5.1	6	9	4.6	5.3	7.2	3.2	5.1	6.2	9.8	7.8	4.4	6.8	11.5	8	5.9	7.884930648	7.050751502	-0.180984607	0.893015179	1	6.52835145	6.363606075	-0.020579582	1	1	5.213352571	8.465712256	0.678	0.249	0.571
Riox2	ENSRNOG00000001680	11	43006757	43022565	-1	protein_coding	ribosomal oxygenase 2 	98.7	92.9	103.6	107.1	104.3	94.3	97.1	91.9	123.4	113.2	110.9	79.9	107.4	88.2	123.8	120.3	109.2	99.7	90.2	98.5	79.9	101.9029236	106.4452713	0.061207474	0.791281127	1	104.1128199	109.7353138	0.076279851	0.748268946	0.932909355	101.3125906	89.53115227	-0.181	0.447	0.757
Dscr3	ENSRNOG00000001681	11	34764721	34791993	-1	protein_coding	DSCR3 arrestin fold containing 	343	289.2	311.1	312.8	363.6	328.6	309.4	310.5	270	267.4	286.5	286.4	353.6	343	345.5	357.1	303.6	363.7	323.3	358.2	329.2	335.0176361	347.3656806	0.051889809	0.797951993	1	296.6316595	341.4957467	0.203719847	0.311965232	0.647146611	280.1049138	336.9120493	0.267	0.187	0.49
Ttc3	ENSRNOG00000001682	11	34598492	34738791	1	protein_coding	tetratricopeptide repeat domain 3 	2106.2	2707.8	3074.4	3101.9	3177.6	3234.1	3181	2904.3	2834.5	2397.7	2593.5	2645.3	2873.8	3101.3	3195.3	2853	2743	2807.9	3168.4	2780.8	2859.8	3171.202699	3056.78685	-0.053025284	0.780318677	1	2973.249129	2801.280834	-0.085917242	0.651224378	0.888556128	2545.497956	2936.318205	0.206	0.278	0.608
Hlcs	ENSRNOG00000001686	11	34352287	34526931	-1	protein_coding	holocarboxylase synthetase 	489.6	305.2	429.1	363.6	448.4	363.1	368.5	310.9	397.8	375.7	405.5	345.3	417.5	382.4	532.2	534.9	419.4	529.9	448.5	436.8	478	391.702329	444.040849	0.180044504	0.360983376	1	359.0687096	494.7422434	0.462759605	0.019746671	0.107919824	375.5042318	454.4405818	0.275	0.165	0.455
Crybg3	ENSRNOG00000001687	11	42945084	43005097	1	protein_coding	crystallin beta-gamma domain containing 3 	599.3	748.4	654.5	663.2	712.5	756.5	744.1	774.5	613.1	726.1	623.3	655.8	670.8	670.4	790.3	642.8	587.4	762.7	694.2	653.7	637.7	710.7363072	710.5344909	-0.000451528	1	1	710.5522475	664.2778517	-0.096930466	0.61923514	0.873428223	668.4040545	661.852581	-0.0147	0.945	0.997
Arl6	ENSRNOG00000001689	11	42858478	42884603	1	protein_coding	ADP-ribosylation factor like GTPase 6 	64.3	76.8	91.2	116.1	98.6	94.3	117.8	93.1	100.1	87.4	87.3	92.3	108.4	94.4	124.9	113.6	77.8	107.6	130.6	92.5	99.5	103.006932	109.2296202	0.083372787	0.718725705	1	103.657581	99.63499173	-0.053675361	0.822944658	0.958972949	88.98543502	107.5464111	0.272	0.228	0.547
Chaf1b	ENSRNOG00000001692	11	34101197	34121378	1	protein_coding	chromatin assembly factor 1 subunit B 	46.8	18.8	20.3	17	10.7	18.2	10.9	11.6	21.1	13.7	7.2	10.5	19.2	14.5	11.2	14.7	15.2	8.8	6.1	10.9	14.8	15.31742326	14.98895667	-0.017092534	1	1	14.51785376	12.88415503	-0.173564409	0.692843651	0.905671009	10.46431683	10.61536122	-0.00186	1	1
Setd4	ENSRNOG00000001699	11	33781870	33801999	-1	protein_coding	SET domain containing 4 	218.1	184	166.3	163	189	176.5	151.5	166.2	185.3	188.4	166.4	187.8	188.5	160.7	204.7	198.5	161.7	175	182.5	163.2	161.8	176.1667328	184.6029276	0.066732619	0.755139883	1	167.6726013	178.3974039	0.090273426	0.684473272	0.901898356	180.8526146	169.1484524	-0.0975	0.656	0.892
Whrn	ENSRNOG00000001700	5	79234950	79317206	-1	protein_coding	whirlin 	699.5	1002.7	833.9	669.5	707.8	687.6	951.4	1226	1128.7	1304.1	1656	921.5	712.4	739.8	635.7	588.2	1025.4	698	719.5	991.9	875.4	688.3153495	695.9537273	0.015940761	0.937197111	1	1102.060068	770.5406786	-0.51698752	0.007558466	0.052664772	1293.87793	862.2937901	-0.585	0.00237	0.022
Cbr3	ENSRNOG00000001701	11	33909439	33917674	1	protein_coding	carbonyl reductase 3 	111	148	141.5	139	146.9	152.1	108	148.7	141.5	106.6	159.1	173	168.2	180.3	201.3	215.6	244.1	131.9	249.3	146.2	124.2	146.0118826	183.2946527	0.327583726	0.11789925	0.916235329	132.761946	197.2154142	0.569493486	0.007740493	0.05368848	146.2457968	173.2748007	0.249	0.254	0.579
Runx1	ENSRNOG00000001704	11	32769165	33003021	-1	protein_coding	runt-related transcription factor 1 	861.4	434.1	799	644.5	735.7	654.1	802.4	519.7	597.2	545.5	610.9	620.1	797.5	665.3	819.2	941.7	886.3	787	937.4	754.1	745.2	678.1159494	760.655064	0.165439388	0.393294614	1	639.7518615	871.6681093	0.446402283	0.021602649	0.115400251	592.1674806	812.264623	0.456	0.019	0.104
Kalrn	ENSRNOG00000001706	11	69484293	70025633	1	protein_coding	"kalirin, RhoGEF kinase "	672.1	1146	822.9	887.2	864.2	790	940.7	1004.1	1200.4	875.2	1119.1	985.3	776.2	697.4	653.4	792.9	918.9	777.2	912.2	1007.9	856.1	847.1532611	708.9839993	-0.25686391	0.184460622	1	1048.3962	829.6713106	-0.337758279	0.080327897	0.289817142	993.2118454	925.3860822	-0.102	0.597	0.858
Vwa5b2	ENSRNOG00000001707	11	83992076	84008946	-1	protein_coding	von Willebrand factor A domain containing 5B2 	54.7	46.5	35.9	31.1	31.5	37.5	47.2	46.9	41.7	51.9	37	34.7	33.4	29	29.9	33.4	34.9	34.2	38.4	30.8	27.9	33.37112531	30.79785199	-0.112549091	0.714282622	1	45.28069718	34.18929678	-0.40385771	0.152274441	0.434783978	41.2039252	32.37473397	-0.361	0.212	0.525
Dvl3	ENSRNOG00000001708	11	84051078	84068302	-1	protein_coding	dishevelled segment polarity protein 3 	1320.9	1443.6	1176.4	1088.7	1001.2	1157.1	1127.3	1205.8	1409.6	1338.8	1263.9	1219.3	1143	1026.9	939.1	997.2	1223.3	939.5	1021.1	1103.4	921.9	1082.343022	1036.320376	-0.062479837	0.745490726	1	1247.552603	1053.321802	-0.244370687	0.204038164	0.515454192	1274.031029	1015.462881	-0.327	0.0884	0.306
Ap2m1	ENSRNOG00000001709	11	84041184	84047546	-1	protein_coding	"adaptor-related protein complex 2, mu 1 subunit "	2317.1	2012.6	1995.7	1869.6	1873.4	2074.9	1886.5	1843	1858.5	1964	2014.5	1964.3	1865.5	1786.4	1872.3	2031.7	1891.6	1845.9	1754.2	1793.8	1853.7	1939.323154	1841.387923	-0.074711296	0.695385348	1	1862.64592	1923.046088	0.046091488	0.810070559	0.954508223	1980.916672	1800.561986	-0.138	0.47	0.775
Abcf3	ENSRNOG00000001710	11	84026207	84037938	-1	protein_coding	ATP binding cassette subfamily F member 3 	542.6	514	570.7	468.1	522.6	394.5	508.1	556.9	537.4	522.4	485.7	503.7	511.7	476.7	490.5	512.2	561	577.8	509.4	513.4	526.6	461.7498878	492.9643184	0.093747623	0.633262504	1	534.147308	550.3460996	0.042927791	0.829256197	0.962668713	503.8989802	516.4749856	0.0353	0.859	0.973
Hrasls	ENSRNOG00000001711	11	75125952	75144903	-1	protein_coding	HRAS-like suppressor 	89.8	154	84	116.1	77.5	117.6	117.6	91.8	82.3	97.4	131.4	112.3	116.5	96.4	72.3	96.9	101.5	104.6	122.8	113.4	106.4	103.7205748	95.05501534	-0.121214586	0.58168051	1	97.25126404	101.0082466	0.055033687	0.819255588	0.957861249	113.6667461	114.2059684	0.00994	0.985	1
Alg3	ENSRNOG00000001712	11	83986230	83991706	1	protein_coding	"ALG3, alpha-1,3- mannosyltransferase "	185.7	161.2	157.3	166.7	162.6	165.3	177	157.1	163.1	171.1	166.3	160.6	145.9	163.7	156.1	155.4	153.9	143.7	151.1	172.1	133.1	164.8994663	155.244822	-0.087094937	0.697182589	1	165.7409697	150.9947833	-0.134008903	0.533410614	0.826382289	166.0017204	152.1153346	-0.126	0.558	0.836
Ece2	ENSRNOG00000001715	11	83948230	83964055	-1	protein_coding	endothelin-converting enzyme 2 	61.7	109.3	64.9	68	62.7	38.6	87.6	79.4	111	68.2	63.7	72.4	62.8	56	47.8	26.1	42.5	50.9	34.3	44.8	44.9	56.41801183	55.51481994	-0.027223242	0.945662797	1	92.63528804	39.85292791	-1.220931688	0.000000885	0.0000326	68.09402343	41.31686585	-0.718	0.00489	0.0382
Opa1	ENSRNOG00000001717	11	74720254	74793803	-1	protein_coding	"OPA1, mitochondrial dynamin like GTPase "	618.9	740.8	712.3	765.1	706.7	746.4	771.5	860.5	744.4	774.8	755.7	720.9	763	810.3	803.8	798.4	712.8	704.9	781.1	791	805	739.4066216	792.3755193	0.099825224	0.607327519	1	792.1376053	738.7022977	-0.100548167	0.604853812	0.868861407	750.4649339	792.3434343	0.0781	0.687	0.908
Psmd2	ENSRNOG00000001719	11	83934087	83944763	-1	protein_coding	"proteasome 26S subunit, non-ATPase 2 "	1889.2	1673	1632.3	1608.5	1592.4	1552.7	1636.1	1621.8	1667.3	1709.7	1708.5	1622.3	1628.4	1680.7	1686.3	1683.1	1677.6	1632.7	1583.3	1677.4	1700.1	1584.511742	1665.112622	0.071539586	0.708355765	1	1641.731672	1664.483606	0.019867344	0.918370401	0.99310361	1680.149347	1653.589779	-0.023	0.905	0.985
Hes1	ENSRNOG00000001720	11	74312806	74315248	-1	protein_coding	hes family bHLH transcription factor 1 	1304.4	758.5	1232.8	1069.2	1004	870.2	697.2	807.7	702.8	546.2	712.5	754.3	996.1	947.1	994.2	1426.9	959.8	1234.8	923.3	1139.2	1351.9	981.1292528	979.1418033	-0.003099514	0.989824483	1	735.8980423	1207.18255	0.714319214	0.000224705	0.003242115	671.0191355	1138.139915	0.763132955	0.0000832	0.001691163
Atp13a3	ENSRNOG00000001724	11	73936750	73963852	1	protein_coding	ATPase 13A3 	113.1	130	103.9	139.3	108.6	128.8	128.6	113.6	115.9	132.8	122.2	119.7	120.6	124.3	95.5	136.4	138.6	139.8	130.9	104.5	116.7	125.5416157	113.4447976	-0.14432054	0.504474646	1	119.33713	138.2868749	0.212651777	0.3341483	0.667598184	124.890866	117.3340724	-0.0927	0.702	0.916
Tmem44	ENSRNOG00000001726	11	73738433	73774190	1	protein_coding	transmembrane protein 44 	33	36	41.1	40.3	34.8	27.4	35.4	26.7	41.4	28.8	33.9	34.6	37.5	47.6	24.7	25.5	39.1	33.2	22.4	22.9	33.2	34.15675439	36.57455331	0.097620892	0.770750516	1	34.4821292	32.61628122	-0.086651593	0.82998518	0.962793952	32.42339504	26.16453636	-0.305	0.307	0.639
Lsg1	ENSRNOG00000001727	11	73693814	73723501	1	protein_coding	large 60S subunit nuclear export GTPase 1 	245.8	239.9	240.8	235.3	229.6	264.7	245.8	268	234	245.2	254.6	223.6	267.5	232.1	213.9	224.8	223.8	239.5	217.9	213.9	233.2	243.2096399	237.8288775	-0.031431293	0.878432644	1	249.256309	229.3863113	-0.119668176	0.566685237	0.845924948	241.1400451	221.6489983	-0.122	0.563	0.839
Fam43a	ENSRNOG00000001728	11	73676601	73678984	-1	protein_coding	"family with sequence similarity 43, member A "	51.9	113.1	103.4	70.8	89.6	155.1	163.7	163.5	85	121.8	90.4	117.5	83.1	129.3	74.5	66.6	76.5	105.7	91.3	80.6	98	105.1702821	95.65395723	-0.130825231	0.542804175	1	137.3791705	82.91688728	-0.728182017	0.001205034	0.012771856	109.8906736	89.96276132	-0.292	0.204	0.514
Xxylt1	ENSRNOG00000001729	11	73198522	73329083	1	protein_coding	xyloside xylosyltransferase 1 	122.8	92.8	109.3	84.6	94.9	95.3	93.6	97.5	117.8	109.1	133.4	98.7	88.2	92.2	73.3	88	127.5	108.5	112.2	97.5	97.1	91.59211735	84.53351716	-0.114851858	0.622263108	1	102.9694393	108.00637	0.065782893	0.761593094	0.936544567	113.7490211	102.2753243	-0.153	0.494	0.792
Acap2	ENSRNOG00000001730	11	73078982	73191132	1	protein_coding	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2 "	963.1	1351.7	1224	1277.7	1277.2	1273.8	1179	1262.9	1190.7	1170.2	1193.1	1163.7	1318.3	1336.7	1319.8	1291.6	1366.5	1412.8	1399.1	1288.4	1253.3	1276.215955	1324.932455	0.05402584	0.77879682	1	1210.868698	1356.962883	0.164289491	0.391907197	0.721530803	1175.64128	1313.601266	0.16	0.404	0.729
Ppp1r2	ENSRNOG00000001733	11	73022063	73034682	1	protein_coding	"protein phosphatase 1, regulatory (inhibitor) subunit 2 "	320.6	611.1	519.4	667.9	572.3	647	708.6	680.8	625.3	629	616	589.7	462.1	590.6	563.5	568.3	542.5	492.7	595.8	454.7	598	629.0822478	538.7175016	-0.223622659	0.252021882	1	671.545436	534.5034741	-0.329042448	0.092045573	0.318134462	611.5944114	549.4873842	-0.155	0.43	0.745
Bdh1	ENSRNOG00000001736	11	72578533	72614176	-1	protein_coding	3-hydroxybutyrate dehydrogenase 1 	278.1	135.3	222.9	304.3	250.2	237.3	273.2	150.8	211.4	149.3	180.7	158.5	320.2	237.4	301.1	270.7	241.2	203.3	166.7	187	247.7	263.9468611	286.2146396	0.116509046	0.571821024	1	211.7861398	238.3963441	0.171450304	0.408409701	0.734244501	162.8071507	200.499616	0.301	0.151	0.434
Eif4g1	ENSRNOG00000001738	11	83908109	83926524	-1	protein_coding	"eukaryotic translation initiation factor 4 gamma, 1 "	2824	2537.1	2241.1	2270.2	2044.8	2081	2499.4	2103.4	2390.2	2396.1	2645.9	2144.9	2442.1	2251.6	2272	2341.4	2451.4	2108.8	2288.1	2302.2	2303	2132.000242	2321.917986	0.123111193	0.517772816	1	2330.982123	2300.547273	-0.018965838	0.921454613	0.993628768	2395.606103	2297.780491	-0.0602	0.752	0.938
Meltf	ENSRNOG00000001739	11	72135668	72157522	-1	protein_coding	melanotransferrin 	12	7.5	10	7	13.6	13.2	15.6	17.3	27.8	16.9	18.4	7.5	12.1	10.3	3.5	15.6	12	9.8	10.9	23.9	14	11.24856019	8.666117544	-0.361977181	0.429432567	1	20.25599837	12.46537444	-0.690215327	0.062311571	0.243857004	14.25663141	16.24636142	0.184	0.659	0.894
Pak2	ENSRNOG00000001747	11	71959228	72021224	1	protein_coding	p21 (RAC1) activated kinase 2 	240.9	205.8	211.9	178.3	156	191.7	209.2	215.5	218.1	215.5	221.7	186.9	150	142	156	140.4	202.7	165.2	157.2	226.9	151.7	175.3367935	149.3358092	-0.230624979	0.27175737	1	214.2419547	169.4405125	-0.340129142	0.107034178	0.350006568	208.0472912	178.5952612	-0.219	0.292	0.624
Chrd	ENSRNOG00000001750	11	83858503	83867203	-1	protein_coding	chordin 	129.5	133.8	90.7	63.9	96.8	88.2	119.2	104.5	121.3	102.2	127.3	108.1	91.2	131.4	63.6	65.9	88.2	68.4	68.9	67.7	53.4	82.97245941	95.39520951	0.201926543	0.389544489	1	115.0202926	74.16106988	-0.634957103	0.005726022	0.042614978	112.5375189	63.33371878	-0.825353291	0.000325776	0.005007452
Nrros	ENSRNOG00000001752	11	71872830	71889887	1	protein_coding	negative regulator of reactive oxygen species 	109.9	193.7	164.9	181.9	163.9	201.8	188	227.8	189	333.4	211.6	260.3	156.1	203	138.7	141.1	201.8	198.5	153.6	157.2	187.9	182.5341287	165.9015757	-0.136322821	0.519944794	1	201.6082502	180.4631008	-0.161456268	0.449537201	0.768095403	268.4205223	166.2504918	-0.694	0.000826	0.0102
Wdr53	ENSRNOG00000001754	11	71787457	71795796	-1	protein_coding	WD repeat domain 53 	56.2	56.9	48.1	59.7	49.3	67.9	49.7	42.7	66	55.1	64.7	69.2	64.8	52.9	52.1	54.8	50.4	74.4	52.7	48.7	59.9	59.00678736	56.61656102	-0.055362787	0.816015141	1	52.81646594	59.84182043	0.17985191	0.489688208	0.798168147	63.00227878	53.78622283	-0.225	0.382	0.71
Tctex1d2	ENSRNOG00000001758	11	71593302	71601662	-1	protein_coding	Tctex1 domain containing 2 	72	97.8	75.9	125.1	100.1	97.4	88.7	74.9	110.9	81.7	87.3	99.6	97.3	89.1	93	85	72.2	97.8	85.3	70.6	84.2	107.5144488	93.14098567	-0.207128416	0.354894389	1	91.49665179	84.99749018	-0.10514321	0.649773168	0.887899357	89.54572929	80.06468456	-0.16	0.489	0.788
Pcyt1a	ENSRNOG00000001762	11	71548222	71591502	-1	protein_coding	"phosphate cytidylyltransferase 1, choline, alpha "	993.3	1117.3	1012.4	1013.8	920.7	1067.9	1168.2	1150.7	1085.1	1067	1051.4	1012.6	928.2	1000.9	940.1	974.9	1072.8	956.2	981.3	1072.5	938	1000.772826	956.3949126	-0.065290492	0.735192023	1	1134.641459	1001.300789	-0.180406318	0.349024555	0.681908731	1043.652116	997.2928927	-0.0655	0.735	0.93
Vps8	ENSRNOG00000001764	11	83105064	83300409	-1	protein_coding	VPS8 CORVET complex subunit 	601	692.4	701.1	680.2	772.7	724.1	672.3	721.9	684.7	684.4	745.4	666.4	688	710.8	696.4	684.8	703	764.6	727.2	690.5	785.2	725.6661866	698.4338888	-0.055283616	0.77797378	1	692.9814222	717.4389053	0.050008791	0.799212323	0.950636796	698.695948	734.2898874	0.0716	0.714	0.921
Slc51a	ENSRNOG00000001765	11	71533078	71547476	1	protein_coding	"solute carrier family 51, alpha subunit "	9.9	18.1	18.8	22.4	13.9	18.3	11.1	24.9	20.2	20.2	15.4	15.8	12.2	18.6	20.9	12.9	15.2	10.7	14.1	17.9	9.5	18.2009377	17.24181417	-0.076854057	0.874379986	1	18.72149968	12.93483714	-0.535001972	0.147830078	0.427455149	17.1378951	13.81727703	-0.314	0.433	0.748
Tfrc	ENSRNOG00000001766	11	71397383	71419223	-1	protein_coding	transferrin receptor 	180.5	270.4	285.1	245.8	342.7	270.8	365.9	400.7	246.8	317	212.6	215.2	323.2	301.6	318.9	229.2	235.7	211.2	272.9	232.8	339	286.4456721	314.5524436	0.134174311	0.504175096	1	337.7971438	225.3482554	-0.583615689	0.004068989	0.032909101	248.2843191	281.5825477	0.177	0.371	0.701
RGD1562339	ENSRNOG00000001767	11	83048636	83094372	1	protein_coding	RGD1562339 	274.6	320.7	261.1	247.9	222.5	240.3	246.9	245.3	251.8	255.9	285.4	296.9	225	254.8	202.8	227.3	251	253.2	223.9	274.6	241.5	236.9359647	227.5354659	-0.057900168	0.782015259	1	248.0143172	243.8369998	-0.02481289	0.911096503	0.990738621	279.4207388	246.664341	-0.178	0.378	0.707
Tnk2	ENSRNOG00000001769	11	71348717	71387992	-1	protein_coding	"tyrosine kinase, non-receptor, 2 "	1874.4	1230.9	1385.9	1441.7	1636.2	1342.7	1065.8	1087.8	1301.6	1292	1315.3	1359.9	1850.3	1450.7	1769.2	1776.7	1610.1	1869.4	1742.4	1769	1648.3	1473.563096	1690.08782	0.197621103	0.300380134	1	1151.745536	1752.043039	0.605187382	0.001612362	0.016002248	1322.369472	1719.868056	0.379	0.0474	0.199
Ehhadh	ENSRNOG00000001770	11	82945104	82978364	1	protein_coding	enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase 	140	51.9	66.1	91.8	116.1	68	66	64.1	53	50.9	76.9	61.9	137.8	94.4	105.3	133.9	66.9	85	103.1	81.6	125.4	91.96874278	112.4786016	0.286335856	0.191580964	1	61.04587897	95.27496465	0.647542233	0.007045937	0.050074611	63.24576566	103.3506353	0.712	0.00223	0.0211
Senp2	ENSRNOG00000001773	11	82630436	82664630	-1	protein_coding	Sumo1/sentrin/SMT3 specific peptidase 2 	337.6	312	375.5	389.7	340.9	390.4	439.1	396.5	343.2	373.2	365.5	344.2	407.3	334.8	459.2	391.4	366.8	378.4	377.1	404.9	364	373.6764845	400.4510991	0.099895261	0.617568648	1	392.9341436	378.870192	-0.052208575	0.795972404	0.949782571	360.9913089	381.998745	0.0814	0.685	0.907
Lrch3	ENSRNOG00000001774	11	71012061	71108184	-1	protein_coding	leucine rich repeats and calponin homology domain containing 3 	502.2	742.8	585.4	610.8	578.8	643	805.3	710.7	680.4	671.5	680.7	574.1	568.5	556.4	524.9	513	653.5	531.8	555.2	595	584.4	610.8191267	549.9326557	-0.151252333	0.438667523	1	732.1188822	566.1278215	-0.371235341	0.057159074	0.228813086	642.0944186	578.1779556	-0.151	0.439	0.752
Lmln	ENSRNOG00000001781	11	70897052	70961358	-1	protein_coding	leishmanolysin like peptidase 	249.5	153.4	256.1	183.5	195	225.1	229.6	172.1	149.9	182.5	140.7	193	253.3	223.9	327.3	291.3	207.7	265.9	272.8	269.6	250.8	201.199393	268.1946248	0.414575639	0.042750532	0.559783074	183.86274	254.9692802	0.473163056	0.023464678	0.122439026	172.083085	264.3851764	0.618	0.00271	0.0244
Osbpl11	ENSRNOG00000001782	11	70770507	70833577	-1	protein_coding	oxysterol binding protein-like 11 	419	549.3	449.4	451.2	416.9	440.1	379.7	460.7	500.1	509.7	504.1	480.6	465.1	520.1	453	433.2	541.2	454.6	491.5	445.7	419.5	436.0739554	479.3965591	0.136744581	0.489230283	1	446.7994989	476.3181188	0.091665937	0.643045556	0.885154026	498.1424984	452.2447915	-0.14	0.48	0.782
Tra2b	ENSRNOG00000001783	11	82373870	82392083	1	protein_coding	transformer 2 beta homolog (Drosophila) 	817.4	755.9	828.3	789.9	777.8	901.5	1009.4	879	697.5	743.7	690	702	775.2	708.8	906.5	845.6	767.4	780.2	896.7	801.9	800.5	823.0733947	796.8482492	-0.046653289	0.810873764	1	861.9803984	797.7094175	-0.111531724	0.564697622	0.844738696	711.9081975	833.0472854	0.226	0.242	0.563
Etv5	ENSRNOG00000001785	11	82194657	82252139	1	protein_coding	ets variant 5 	99.3	139.6	93.9	110.5	93.5	130.8	105	105.3	83.5	139.4	99.7	112.3	67.9	68.4	58.8	79.8	96.9	68.4	55.5	73.6	89.6	111.6079155	65.02236112	-0.775351467	0.000708827	0.029619652	97.90674008	81.69164655	-0.262107412	0.262872572	0.591579328	117.132924	72.93388316	-0.686	0.00261	0.0237
Snx4	ENSRNOG00000001786	11	70693366	70753632	-1	protein_coding	sorting nexin 4 	439.5	497	469.4	495.8	469.8	502	465.3	402.5	454.2	453.3	468.2	428.2	490.4	461.1	525.8	456.6	433.4	497.7	471.6	410.9	420.5	489.1853034	492.462884	0.009640481	0.964593228	1	440.6445337	462.5547845	0.070160649	0.726478308	0.921019351	449.8675552	434.3500169	-0.051	0.801	0.956
Zfp148	ENSRNOG00000001789	11	70514750	70618347	-1	protein_coding	zinc finger protein 148 	969.4	1042.3	1103.6	1007.5	1104.5	965.5	975.8	1038.3	975.9	1052.9	1082.2	1051.4	1162.3	1006.2	1199	1173.3	1068.7	1164.4	1092.5	1131.2	1056.9	1025.829178	1122.479487	0.129703187	0.49951078	1	996.6809593	1135.486711	0.18818756	0.328727069	0.662074378	1062.148324	1093.55194	0.0421	0.828	0.964
Slc12a8	ENSRNOG00000001792	11	70344797	70499200	-1	protein_coding	"solute carrier family 12, member 8 "	85.2	57.7	95.6	104.5	120.9	53.8	64.5	50.5	39.7	95.7	67.9	104.8	109.4	73.7	87.5	162	97.4	117.3	102	120.4	100.6	93.08634629	90.19316847	-0.050960968	0.855820096	1	51.53358444	125.5742198	1.287615303	6.69E-08	0.00000368	89.46263627	107.6828286	0.266	0.239	0.559
Heg1	ENSRNOG00000001793	11	70236888	70322690	-1	protein_coding	heart development protein with EGF-like domains 1 	2560.3	4327.2	2798.6	3039.7	2350.7	3142.8	3683.2	3322.8	3739.3	4425.3	3977.6	3420.8	2429.9	3017.2	1859.5	2155.5	3389.7	2321	2522.3	2690.3	2584.9	2844.400061	2435.528556	-0.223712731	0.238642196	1	3581.74859	2622.04835	-0.450137326	0.017932936	0.100537508	3941.230106	2599.157905	-0.601	0.00159	0.0165
